sep=,
step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
137,3497,137,0.35308605105172314,0.0,0.7777777777777778,0.39791406930922674,0.0,0.8181818181818182
138,3522,138,0.14134274117558865,0.0,0.8,,,
139,3547,139,0.024284696347911753,1.0,1.0,,,
140,3580,140,0.4802345753840018,0.0,0.75,,,
141,3605,141,0.024900888869863892,1.0,1.0,,,
142,3630,142,0.22310616351059553,0.0,0.9090909090909091,,,
143,3655,143,0.196543664809839,0.0,0.7777777777777778,,,
144,3680,144,0.22349693280279703,0.0,0.8181818181818182,,,
145,3697,145,0.02272012708638613,1.0,1.0,0.5696679167360222,0.0,0.6666666666666666
146,3722,146,0.336936122240692,0.0,0.8181818181818182,,,
147,3747,147,0.10778971203933907,0.0,0.875,,,
148,3772,148,0.09356961689545641,0.0,0.9090909090909091,,,
149,3797,149,0.5946388932957294,0.0,0.8333333333333334,,,
150,3822,150,0.3661620812557158,0.0,0.8,,,
151,3847,151,0.027054122999294723,1.0,1.0,,,
152,3872,152,0.10473216452634006,0.0,0.8888888888888888,,,
153,3897,153,0.13797369838436374,0.0,0.9090909090909091,0.03264303825747447,1.0,1.0
154,3922,154,0.03677152782277213,1.0,1.0,,,
155,3955,155,0.42297240544166015,0.0,0.8125,,,
156,3980,156,0.024483250810456714,1.0,1.0,,,
157,4005,157,0.20317962725476416,0.0,0.9090909090909091,,,
158,4030,158,0.049313858000638595,1.0,1.0,,,
159,4047,159,0.17122300044288752,0.0,0.7142857142857143,,,
160,4072,160,0.11696060852386228,0.0,0.9166666666666666,,,
161,4097,161,0.026702528355384253,1.0,1.0,0.03511217095847011,1.0,1.0
162,4122,162,0.028128440202781345,1.0,1.0,,,
163,4147,163,0.021805819662683155,1.0,1.0,,,
164,4172,164,0.1731769537140887,0.0,0.8,,,
165,4197,165,0.02461912847963655,1.0,1.0,,,
166,4222,166,0.024241910583400562,1.0,1.0,,,
167,4255,167,0.07648829652379106,0.0,0.9166666666666666,,,
168,4280,168,0.025014754548707666,1.0,1.0,,,
169,4305,169,0.017903310360012862,1.0,1.0,0.254611668077135,0.0,0.8
170,4330,170,0.1723562061921469,0.0,0.8181818181818182,,,
171,4355,171,0.03663702991910516,1.0,1.0,,,
172,4380,172,0.03029499204806295,1.0,1.0,,,
173,4405,173,0.022915125720824107,1.0,1.0,,,
174,4430,174,0.20377754219601532,0.0,0.8,,,
175,4455,175,0.030716748727415207,1.0,1.0,,,
176,4480,176,0.025127621915671625,1.0,1.0,,,
177,4505,177,0.02312768675135885,1.0,1.0,0.24709497224858448,0.0,0.8461538461538461
178,4530,178,0.049163777596028614,0.0,0.875,,,
179,4555,179,0.06034843015205449,0.0,0.9090909090909091,,,
180,4580,180,0.18356070023049445,0.0,0.8181818181818182,,,
181,4605,181,0.024694249560167615,1.0,1.0,,,
182,4630,182,0.027466086430564852,1.0,1.0,,,
183,4655,183,0.08483372933784873,0.0,0.9090909090909091,,,
